"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"1","Call helps #Cubs
Ball 1 should be strike 1
Top 9 Jansen vs Heyward
4% call same
5.1in from edge https://t.co/AQ04PtlcnD",FALSE,1,NA,2017-05-28 23:32:09,FALSE,NA,"868973195625410560",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Jansen vs Heywar","Jansen","helps"
"2","Call helps #Cubs
Strike 3 should be ball 3
Bot 8 Pena vs Eibner
16% call same
2.1in from edge https://t.co/ArcVGIZoWC",FALSE,1,NA,2017-05-28 23:19:38,FALSE,NA,"868970047871606786",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Pena vs Eibner
1","Pena","helps"
"3","Call helps #Cubs
Strike 2 should be ball 2
Bot 7 Rondon vs Hernandez
22% call same
1.6in from edge https://t.co/d9Onp9FBJw",FALSE,0,NA,2017-05-28 23:00:19,FALSE,NA,"868965186526425088",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Rondon vs Hernan","Rondon","helps"
"4","Call hurts #Cubs
Strike 3 should be ball 3
Top 7 Romo vs Contreras
38% call same
0.6in from edge https://t.co/ZBHJjzK9D1",FALSE,2,NA,2017-05-28 22:40:16,FALSE,NA,"868960138480295936",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",2,FALSE,FALSE,NA,NA,"2017","Romo vs Contrera","Romo","hurts"
"5","Call helps #Cubs
Strike 1 should be ball 1
Bot 4 Lester vs Forsythe
20% call same
2.4in from edge https://t.co/fxKPt8TP8t",FALSE,1,NA,2017-05-28 21:51:07,FALSE,NA,"868947771352600576",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Forsyt","Lester","helps"
"6","Call helps #Cubs
Strike 1 should be ball 1
Bot 3 Lester vs Taylor
2% call same
4.4in from edge https://t.co/vuaSfz8qQr",FALSE,4,NA,2017-05-28 21:21:22,FALSE,NA,"868940284092133376",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Lester vs Taylor","Lester","helps"
"7","Call hurts #Cubs
Strike 1 should be ball 2
Top 3 Kershaw vs Contreras
4% call same
4.6in from edge https://t.co/V62sQ4JrvF",FALSE,5,NA,2017-05-28 21:10:00,FALSE,NA,"868937422247268356",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",7,FALSE,FALSE,NA,NA,"2017","Kershaw vs Contr","Kershaw","hurts"
"8","Call hurts #Cubs
Ball 1 should be strike 1
Bot 2 Lester vs Forsythe
10% call same
2.9in from edge https://t.co/IL7LcQnBm3",FALSE,3,NA,2017-05-28 20:58:59,FALSE,NA,"868934649409568768",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",4,FALSE,FALSE,NA,NA,"2017","Lester vs Forsyt","Lester","hurts"
"9","Call hurts #Cubs
Ball 3 should be strike 3
Bot 2 Lester vs Barnes
38% call same
0.9in from edge https://t.co/mf6lDQS0Sg",FALSE,6,NA,2017-05-28 20:53:44,FALSE,NA,"868933329000824832",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",13,FALSE,FALSE,NA,NA,"2017","Lester vs Barnes","Lester","hurts"
"10","Call hurts #Cubs
Strike 1 should be ball 1
Top 2 Kershaw vs Bryant
6% call same
4.6in from edge https://t.co/DLxHnmGDN7",FALSE,4,NA,2017-05-28 20:44:34,FALSE,NA,"868931023232544769",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",3,FALSE,FALSE,NA,NA,"2017","Kershaw vs Bryan","Kershaw","hurts"
